City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2022-02-01 03:38:39,73.5069,80.5464,0.99,89,100,20.31
1,Rawah,IQ,2022-02-01 03:38:40,34.4816,41.9093,43.77,87,79,0.11
2,Chuy,UY,2022-02-01 03:38:40,-33.6971,-53.4616,59.99,67,0,5.7
3,Saldanha,ZA,2022-02-01 03:38:40,-33.0117,17.9442,62.65,95,8,8.7
4,Unity,CA,2022-02-01 03:38:41,52.4501,-109.1682,-3.75,90,100,18.05
5,Sorong,ID,2022-02-01 03:34:25,-0.8833,131.25,83.03,68,100,14.9
6,Hermanus,ZA,2022-02-01 03:38:41,-34.4187,19.2345,73.9,87,2,5.88
7,Rikitea,PF,2022-02-01 03:38:41,-23.1203,-134.9692,78.35,66,85,7.2
8,Arraial Do Cabo,BR,2022-02-01 03:37:24,-22.9661,-42.0278,75.06,94,0,0.0
9,Atuona,PF,2022-02-01 03:38:42,-9.8,-139.0333,78.58,75,11,19.91
10,Bluff,NZ,2022-02-01 03:38:42,-46.6,168.3333,62.91,83,100,14.03
11,Joanopolis,BR,2022-02-01 03:38:42,-22.9303,-46.2756,68.07,98,100,3.44
12,Vestmannaeyjar,IS,2022-02-01 03:37:22,63.4427,-20.2734,33.22,75,29,37.65
13,Avarua,CK,2022-02-01 03:38:43,-21.2078,-159.775,78.85,83,20,13.8
14,Kapaa,US,2022-02-01 03:38:43,22.0752,-159.319,75.18,74,75,1.01
15,Nizhnevartovsk,RU,2022-02-01 03:38:43,60.9344,76.5531,-0.38,85,0,4.47
16,Kaitangata,NZ,2022-02-01 03:38:44,-46.2817,169.8464,68.94,81,100,7.78
17,Lewiston,US,2022-02-01 03:34:57,44.1003,-70.2148,15.35,82,0,0.0
18,Punta Arenas,CL,2022-02-01 03:38:44,-53.15,-70.9167,44.71,81,75,19.57
19,Tsiroanomandidy,MG,2022-02-01 03:38:44,-18.7667,46.0333,68.0,83,33,1.66
20,Albany,US,2022-02-01 03:35:02,42.6001,-73.9662,15.53,72,7,1.68
21,Busselton,AU,2022-02-01 03:38:45,-33.65,115.3333,76.08,31,0,13.15
22,Hithadhoo,MV,2022-02-01 03:38:45,-0.6,73.0833,82.44,72,10,12.15
23,Bredasdorp,ZA,2022-02-01 03:38:45,-34.5322,20.0403,72.28,98,26,2.82
24,Ushuaia,AR,2022-02-01 03:38:45,-54.8,-68.3,42.46,81,75,31.07
25,New Norfolk,AU,2022-02-01 03:38:46,-42.7826,147.0587,83.7,49,38,12.3
26,Bethel,US,2022-02-01 03:37:22,41.3712,-73.414,20.7,68,0,0.0
27,Bata,GQ,2022-02-01 03:38:46,1.8639,9.7658,78.66,100,40,6.91
28,Lazaro Cardenas,MX,2022-02-01 03:38:46,17.9583,-102.2,74.08,76,2,3.2
29,Provideniya,RU,2022-02-01 03:36:14,64.3833,-173.3,12.31,62,75,22.37
30,Mataura,NZ,2022-02-01 03:38:47,-46.1927,168.8643,83.17,40,100,1.21
31,Envira,BR,2022-02-01 03:38:47,-7.3,-70.2167,73.85,79,77,2.15
32,Hobart,AU,2022-02-01 03:38:47,-42.8794,147.3294,84.06,28,0,19.57
33,Lavrentiya,RU,2022-02-01 03:38:48,65.5833,-171.0,-1.52,80,23,12.95
34,Fairbanks,US,2022-02-01 03:36:29,64.8378,-147.7164,-15.39,74,0,0.0
35,Thompson,CA,2022-02-01 03:38:48,55.7435,-97.8558,1.56,78,100,9.22
36,Hilo,US,2022-02-01 03:38:48,19.7297,-155.09,73.26,83,66,1.01
37,Kodiak,US,2022-02-01 03:36:03,57.79,-152.4072,35.11,80,100,9.22
38,Hovd,MN,2022-02-01 03:38:49,48.0056,91.6419,-8.21,86,87,2.44
39,Hofn,IS,2022-02-01 03:38:49,64.2539,-15.2082,33.4,65,28,21.0
40,Los Llanos De Aridane,ES,2022-02-01 03:38:49,28.6585,-17.9182,56.95,68,0,5.99
41,Victoria,HK,2022-02-01 03:38:37,22.2855,114.1577,55.04,87,100,5.01
42,Nanortalik,GL,2022-02-01 03:38:50,60.1432,-45.2371,23.0,79,100,10.42
43,Kudahuvadhoo,MV,2022-02-01 03:38:50,2.6708,72.8944,82.24,77,42,12.84
44,Qaanaaq,GL,2022-02-01 03:34:29,77.484,-69.3632,-20.27,52,5,10.83
45,Ambilobe,MG,2022-02-01 03:38:51,-13.2,49.05,76.3,91,100,1.57
46,Tiksi,RU,2022-02-01 03:38:51,71.6872,128.8694,-10.61,100,100,5.77
47,Keetmanshoop,NA,2022-02-01 03:38:51,-26.5833,18.1333,75.34,65,89,5.66
48,Saint-Philippe,RE,2022-02-01 03:38:52,-21.3585,55.7679,80.15,80,96,14.41
49,Norman Wells,CA,2022-02-01 03:39:52,65.282,-126.8329,1.44,71,75,10.36
50,Yatou,CN,2022-02-01 03:39:52,37.15,122.3833,32.43,49,61,19.64
51,Yongan,CN,2022-02-01 03:39:53,39.6957,113.6871,17.91,39,0,5.64
52,Cayenne,GF,2022-02-01 03:39:53,4.9333,-52.3333,80.1,85,75,5.99
53,Chokurdakh,RU,2022-02-01 03:39:53,70.6333,147.9167,-12.51,95,100,1.61
54,Pisco,PE,2022-02-01 03:39:54,-13.7,-76.2167,71.65,78,100,10.36
55,East London,ZA,2022-02-01 03:39:54,-33.0153,27.9116,74.34,88,0,2.3
56,Yellowknife,CA,2022-02-01 03:39:54,62.456,-114.3525,-11.58,87,20,8.05
57,Touros,BR,2022-02-01 03:39:54,-5.1989,-35.4608,76.1,73,60,12.12
58,Jamestown,US,2022-02-01 03:37:50,42.097,-79.2353,22.64,63,0,5.75
59,Skibbereen,IE,2022-02-01 03:39:55,51.55,-9.2667,48.0,87,54,19.08
60,Pakxan,LA,2022-02-01 03:39:55,18.3778,103.6601,70.52,60,81,3.2
61,Upernavik,GL,2022-02-01 03:39:55,72.7868,-56.1549,-22.23,99,98,6.08
62,Nikolskoye,RU,2022-02-01 03:38:35,59.7035,30.7861,24.69,96,99,4.59
63,Vallenar,CL,2022-02-01 03:39:56,-28.5708,-70.7581,66.13,65,65,3.51
64,Ilulissat,GL,2022-02-01 03:39:56,69.2167,-51.1,6.82,72,100,2.3
65,Sao Filipe,CV,2022-02-01 03:39:56,14.8961,-24.4956,74.48,71,100,12.28
66,Tasiilaq,GL,2022-02-01 03:39:57,65.6145,-37.6368,10.56,84,80,8.41
67,Lasa,IT,2022-02-01 03:39:57,46.6166,10.7002,32.88,94,100,8.16
68,Lebu,CL,2022-02-01 03:39:57,-37.6167,-73.65,57.22,80,0,16.98
69,Kupang,ID,2022-02-01 03:39:58,-10.1667,123.5833,88.38,74,40,14.97
70,Vostok,RU,2022-02-01 03:39:58,46.4856,135.8833,7.74,84,100,5.86
71,Marrakesh,MA,2022-02-01 03:39:58,31.6315,-8.0083,53.67,58,70,5.75
72,Bandarbeyla,SO,2022-02-01 03:39:59,9.4942,50.8122,76.03,78,71,13.56
73,Roald,NO,2022-02-01 03:39:59,62.5833,6.1333,32.32,74,100,10.36
74,Kodinsk,RU,2022-02-01 03:39:59,58.6881,99.1844,3.0,92,100,1.92
75,Cap Malheureux,MU,2022-02-01 03:39:59,-19.9842,57.6142,81.46,69,99,15.99
76,Marfino,RU,2022-02-01 03:40:00,55.7028,37.3822,29.48,100,100,11.18
77,Elat,IL,2022-02-01 03:40:00,29.5581,34.9482,48.04,57,40,0.0
78,Ust-Nera,RU,2022-02-01 03:40:01,64.5667,143.2,0.41,98,100,3.4
79,Dunedin,NZ,2022-02-01 03:40:01,-45.8742,170.5036,65.8,85,100,11.99
80,Luderitz,NA,2022-02-01 03:40:01,-26.6481,15.1594,63.59,95,41,7.27
81,Sampit,ID,2022-02-01 03:40:02,-2.5333,112.95,91.06,52,89,3.8
82,Metro,ID,2022-02-01 03:40:02,-5.1131,105.3067,84.9,68,100,6.31
83,Bowmore,US,2022-02-01 03:40:02,34.9421,-79.3031,39.87,63,0,5.75
84,San Cristobal,VE,2022-02-01 03:40:03,7.7669,-72.225,69.98,86,99,2.1
85,Avera,US,2022-02-01 03:40:03,33.194,-82.5271,41.72,57,16,4.56
86,Longyearbyen,SJ,2022-02-01 03:40:03,78.2186,15.6401,13.84,67,40,2.3
87,Mbamba,NG,2022-02-01 03:40:04,9.9833,13.1,59.59,26,6,4.32
88,Saint George,US,2022-02-01 03:35:42,37.1041,-113.5841,51.35,28,0,5.01
89,Cherskiy,RU,2022-02-01 03:40:04,68.75,161.3,-4.38,87,100,5.7
90,Cidreira,BR,2022-02-01 03:40:04,-30.1811,-50.2056,72.66,87,1,5.28
91,Carnarvon,AU,2022-02-01 03:40:05,-24.8667,113.6333,87.87,58,27,20.71
92,Acarau,BR,2022-02-01 03:40:05,-2.8856,-40.12,77.86,78,84,10.98
93,Grindavik,IS,2022-02-01 03:41:05,63.8424,-22.4338,34.27,69,75,27.63
94,Storm Lake,US,2022-02-01 03:41:06,42.6411,-95.2097,42.15,60,0,14.97
95,Shu,KZ,2022-02-01 03:41:06,43.5983,73.7614,32.97,69,91,3.47
96,Butaritari,KI,2022-02-01 03:41:06,3.0707,172.7902,81.95,78,100,12.75
97,Olafsvik,IS,2022-02-01 03:41:07,64.8945,-23.7142,23.11,80,83,6.08
98,Ponta Do Sol,PT,2022-02-01 03:41:07,32.6667,-17.1,65.03,80,9,13.42
99,Torbay,CA,2022-02-01 03:41:07,47.6666,-52.7314,32.58,72,75,17.27
100,Port Lincoln,AU,2022-02-01 03:41:08,-34.7333,135.8667,65.82,55,50,21.16
101,Bara,NG,2022-02-01 03:41:08,10.3744,10.7288,57.92,26,12,6.49
102,Mehamn,NO,2022-02-01 03:41:08,71.0357,27.8492,21.15,73,0,14.97
103,San Patricio,US,2022-02-01 03:41:09,28.017,-97.5169,62.58,92,95,9.04
104,Lorengau,PG,2022-02-01 03:41:09,-2.0226,147.2712,77.79,90,100,15.48
105,Vaini,TO,2022-02-01 03:41:09,-21.2,-175.2,86.16,58,40,8.05
106,Puerto Ayora,EC,2022-02-01 03:41:10,-0.7393,-90.3518,71.55,95,93,5.99
107,Saskylakh,RU,2022-02-01 03:38:37,71.9167,114.0833,-28.95,100,71,1.97
108,Santa Lucia Cotzumalguapa,GT,2022-02-01 03:41:10,14.3333,-91.0167,76.23,86,99,3.18
109,Lagoa,PT,2022-02-01 03:36:52,39.05,-27.9833,59.04,75,51,21.97
110,Anadyr,RU,2022-02-01 03:41:10,64.75,177.4833,19.9,68,100,13.42
111,Matara,LK,2022-02-01 03:41:11,5.9485,80.5353,82.17,67,18,7.83
112,Sinnamary,GF,2022-02-01 03:41:11,5.3833,-52.95,75.56,90,100,8.93
113,Pflugerville,US,2022-02-01 03:37:55,30.4394,-97.62,57.78,91,75,5.99
114,Klembivka,UA,2022-02-01 03:41:12,48.3904,28.4109,27.52,90,95,2.46
115,Pacifica,US,2022-02-01 03:41:12,37.6138,-122.4869,53.67,83,75,1.99
116,Sibolga,ID,2022-02-01 03:38:44,1.7427,98.7792,82.26,78,47,3.24
117,Khatanga,RU,2022-02-01 03:41:12,71.9667,102.5,-29.87,100,17,4.14
118,Tuktoyaktuk,CA,2022-02-01 03:37:18,69.4541,-133.0374,-20.2,76,40,2.3
119,Nurota,UZ,2022-02-01 03:41:13,40.5614,65.6886,33.89,57,6,7.76
120,Georgetown,MY,2022-02-01 03:38:07,5.4112,100.3354,87.73,71,20,8.01
121,Paamiut,GL,2022-02-01 03:41:13,61.994,-49.6678,17.6,85,100,7.58
122,Hami,CN,2022-02-01 03:41:13,42.8,93.45,24.24,32,40,1.5
123,Charlottetown,CA,2022-02-01 03:41:02,46.2352,-63.1267,14.29,67,0,6.91
124,Shubarshi,KZ,2022-02-01 03:41:14,48.5872,57.1869,20.77,89,100,13.04
125,Gat,IL,2022-02-01 03:41:14,31.61,34.7642,52.39,100,66,7.94
126,Verkhnevilyuysk,RU,2022-02-01 03:41:15,63.4453,120.3167,-20.79,97,96,4.72
127,Bonavista,CA,2022-02-01 03:41:15,48.6499,-53.1147,31.12,64,47,17.22
128,Mahebourg,MU,2022-02-01 03:41:15,-20.4081,57.7,81.25,74,75,18.41
129,Kokstad,ZA,2022-02-01 03:41:16,-30.5472,29.4241,62.28,90,100,2.44
130,Jackson,US,2022-02-01 03:41:16,42.4165,-122.8345,40.87,71,0,0.0
131,Taoudenni,ML,2022-02-01 03:41:16,22.6783,-3.9836,64.17,8,5,11.95
132,Matay,EG,2022-02-01 03:42:17,28.419,30.7792,46.31,71,1,1.81
133,Shadegan,IR,2022-02-01 03:42:17,30.6497,48.6647,55.35,85,98,5.68
134,Iguaba Grande,BR,2022-02-01 03:42:17,-22.8392,-42.2289,75.13,94,0,0.0
135,Geraldton,AU,2022-02-01 03:39:50,-28.7667,114.6,90.01,31,7,13.8
136,Port Elizabeth,ZA,2022-02-01 03:42:18,-33.918,25.5701,73.09,100,75,3.44
137,Skhisma,GR,2022-02-01 03:42:18,35.2667,25.7167,55.83,78,49,9.28
138,Mar Del Plata,AR,2022-02-01 03:42:18,-38.0023,-57.5575,62.87,59,0,1.99
139,Castro,BR,2022-02-01 03:42:19,-24.7911,-50.0119,61.47,91,4,2.64
140,Batemans Bay,AU,2022-02-01 03:42:19,-35.7167,150.1833,93.99,43,100,6.62
141,Sitka,US,2022-02-01 03:42:19,57.0531,-135.33,35.49,80,100,0.0
142,Praia Da Vitoria,PT,2022-02-01 03:42:20,38.7333,-27.0667,59.76,82,40,17.98
143,Hammerfest,NO,2022-02-01 03:42:20,70.6634,23.6821,19.85,79,100,0.0
144,Harlingen,US,2022-02-01 03:42:20,26.1906,-97.6961,67.95,93,0,12.66
145,Fuzhou,CN,2022-02-01 03:42:21,26.0614,119.3061,49.89,93,100,3.0
146,Kailua,US,2022-02-01 03:39:42,21.4022,-157.7394,75.74,72,0,6.91
147,Coquimbo,CL,2022-02-01 03:42:21,-29.9533,-71.3436,64.13,77,100,6.91
148,Iqaluit,CA,2022-02-01 03:42:21,63.7506,-68.5145,-27.31,74,0,3.0
149,College,US,2022-02-01 03:42:22,64.8569,-147.8028,-15.41,74,0,0.0
150,Nemuro,JP,2022-02-01 03:42:22,43.3236,145.575,27.03,63,78,17.83
151,Shepsi,RU,2022-02-01 03:42:22,44.0361,39.1489,40.73,81,43,8.34
152,Guayaramerin,BO,2022-02-01 03:42:22,-10.8368,-65.3614,71.92,92,100,2.55
153,Guerrero Negro,MX,2022-02-01 03:42:23,27.9769,-114.0611,60.48,76,6,10.94
154,Tarakan,ID,2022-02-01 03:42:23,3.3,117.6333,87.3,62,40,8.05
155,Plettenberg Bay,ZA,2022-02-01 03:42:23,-34.0527,23.3716,73.58,78,100,2.93
156,Broken Hill,AU,2022-02-01 03:42:24,-31.95,141.4333,76.71,65,40,12.66
157,Faanui,PF,2022-02-01 03:42:24,-16.4833,-151.75,80.85,75,6,21.07
158,Cape Town,ZA,2022-02-01 03:42:24,-33.9258,18.4232,74.12,81,0,1.01
159,Pangnirtung,CA,2022-02-01 03:42:25,66.1451,-65.7125,-30.12,95,97,4.03
160,Nara,JP,2022-02-01 03:42:25,34.6851,135.8049,49.5,37,55,14.88
161,Carquefou,FR,2022-02-01 03:42:25,47.2982,-1.4902,46.18,88,0,1.01
162,Nyurba,RU,2022-02-01 03:42:26,63.2842,118.3319,-20.36,97,98,2.64
163,Halifax,CA,2022-02-01 03:42:16,44.6453,-63.5724,19.45,81,32,3.44
164,Port Shepstone,ZA,2022-02-01 03:42:26,-30.7414,30.455,74.75,90,100,9.93
165,Khasan,RU,2022-02-01 03:42:26,42.4308,130.6434,24.1,41,46,19.95
166,Mount Gambier,AU,2022-02-01 03:42:27,-37.8333,140.7667,69.71,40,100,24.16
167,Escanaba,US,2022-02-01 03:38:56,45.7453,-87.0646,31.68,88,100,16.11
168,Turukhansk,RU,2022-02-01 03:42:27,65.8167,87.9833,9.23,95,100,10.74
169,Iralaya,HN,2022-02-01 03:39:17,15.0,-83.2333,73.9,77,62,8.39
170,Margate,GB,2022-02-01 03:42:27,51.3813,1.3862,43.97,82,96,3.0
171,Petawawa,CA,2022-02-01 03:42:28,45.9001,-77.3328,5.79,83,93,3.29
172,Kurilsk,RU,2022-02-01 03:42:28,45.2333,147.8833,23.41,73,100,26.02
173,Airai,TL,2022-02-01 03:42:15,-8.9266,125.4092,71.22,66,55,7.05
174,Balsas,BR,2022-02-01 03:42:28,-7.5325,-46.0356,73.74,81,18,1.79
175,Klaksvik,FO,2022-02-01 03:42:29,62.2266,-6.589,43.72,82,99,44.25
176,Clyde River,CA,2022-02-01 03:42:29,70.4692,-68.5914,-25.37,75,100,4.61
177,Salalah,OM,2022-02-01 03:42:29,17.0151,54.0924,66.29,55,20,2.3
178,Haapiti,PF,2022-02-01 03:43:30,-17.5667,-149.8667,83.93,74,9,20.13
179,Tottori,JP,2022-02-01 03:43:30,35.5,134.2333,44.6,70,75,12.66
180,Mutoko,ZW,2022-02-01 03:43:30,-17.397,32.2268,59.67,95,4,1.48
181,Talnakh,RU,2022-02-01 03:43:31,69.4865,88.3972,6.21,95,99,8.97
182,Phan Thiet,VN,2022-02-01 03:42:44,10.9333,108.1,87.1,51,23,15.66
183,Banda Aceh,ID,2022-02-01 03:43:31,5.5577,95.3222,84.33,67,98,8.37
184,Port Alfred,ZA,2022-02-01 03:43:31,-33.5906,26.891,75.45,93,99,3.24
185,Pishin,PK,2022-02-01 03:43:32,30.5803,66.9961,43.77,49,0,3.09
186,Pevek,RU,2022-02-01 03:43:32,69.7008,170.3133,-15.21,95,78,0.18
187,Dawlatabad,AF,2022-02-01 03:43:32,36.4141,64.9053,46.04,37,31,3.98
188,Dingle,PH,2022-02-01 03:43:33,10.9995,122.6711,84.27,70,92,13.82
189,Nouadhibou,MR,2022-02-01 03:43:33,20.931,-17.0347,67.55,68,100,14.34
190,Ancud,CL,2022-02-01 03:43:33,-41.8697,-73.8203,58.23,89,87,5.7
191,Ugoofaaru,MV,2022-02-01 03:43:33,5.6667,73.0,82.85,71,46,11.32
192,Ostrovnoy,RU,2022-02-01 03:43:34,68.0531,39.5131,16.32,94,100,3.06
193,Pacific Grove,US,2022-02-01 03:43:34,36.6177,-121.9166,53.71,89,75,1.01
194,Mahon,ES,2022-02-01 03:43:34,39.8885,4.2658,50.56,62,75,35.68
195,Sabana Grande De Boya,DO,2022-02-01 03:43:35,18.945,-69.7933,71.19,97,97,4.14
196,Saint-Augustin,CA,2022-02-01 03:43:35,51.226,-58.6502,-3.03,97,37,6.58
197,Mao,ES,2022-02-01 03:43:35,39.8885,4.2658,50.56,62,75,35.68
198,Alugan,PH,2022-02-01 03:43:36,12.2188,125.4808,80.26,82,24,9.6
199,Hervey Bay,AU,2022-02-01 03:38:40,-25.2986,152.8535,89.71,75,71,17.72
200,Maputo,MZ,2022-02-01 03:43:36,-25.9653,32.5892,74.23,91,20,3.44
201,Severo-Kurilsk,RU,2022-02-01 03:38:58,50.6789,156.125,29.03,71,100,18.21
202,Nizhniy Chir,RU,2022-02-01 03:43:36,48.3597,43.0865,29.89,93,98,13.56
203,Ratnagiri,IN,2022-02-01 03:43:37,16.9833,73.3,77.92,41,0,3.04
204,Ribeira Grande,PT,2022-02-01 03:43:37,38.5167,-28.7,60.15,74,19,11.68
205,Lawang,ID,2022-02-01 03:43:37,-7.8353,112.6947,81.93,70,99,2.33
206,Bangkalan,ID,2022-02-01 03:43:38,-7.0455,112.7351,87.75,68,89,8.97
207,Nalut,LY,2022-02-01 03:43:38,30.3333,10.85,44.53,37,68,10.8
208,Hobyo,SO,2022-02-01 03:43:38,5.3505,48.5268,77.81,81,54,14.25
209,Shimoda,JP,2022-02-01 03:43:38,34.6667,138.95,52.16,47,0,23.2
210,Kruisfontein,ZA,2022-02-01 03:43:39,-34.0033,24.7314,70.88,89,99,4.16
211,Key Largo,US,2022-02-01 03:43:39,25.0865,-80.4473,64.99,54,52,16.89
212,Oxford,GB,2022-02-01 03:40:00,51.7522,-1.256,47.05,88,75,1.99
213,Marsa Matruh,EG,2022-02-01 03:43:39,31.3525,27.2453,52.0,76,40,12.66
214,Aracuai,BR,2022-02-01 03:43:40,-16.8497,-42.0703,71.06,96,95,0.16
215,Tura,IN,2022-02-01 03:43:40,25.5198,90.2201,65.12,47,67,5.91
216,Balad,IQ,2022-02-01 03:43:40,34.0164,44.1453,46.83,83,100,7.02
217,Whitehorse,CA,2022-02-01 03:43:34,60.7161,-135.0538,-12.23,70,0,4.61
218,Latung,PH,2022-02-01 03:43:41,5.5,120.8833,82.42,73,24,4.97
219,Miri,MY,2022-02-01 03:43:41,4.4148,114.0089,84.34,79,40,4.61
220,San Quintin,MX,2022-02-01 03:43:41,30.4833,-115.95,57.24,80,76,8.03
221,Fez,MA,2022-02-01 03:43:42,34.0372,-4.9998,52.05,37,0,10.36
222,Cabinda,AO,2022-02-01 03:43:42,-5.55,12.2,77.68,89,99,4.65
223,Ponta Delgada,PT,2022-02-01 03:43:42,37.7333,-25.6667,58.5,72,40,9.22
224,Kijang,KR,2022-02-01 03:43:43,35.2442,129.2139,44.33,35,43,18.79
225,Ramanathapuram,IN,2022-02-01 03:43:43,9.3833,78.8333,80.82,67,49,9.82
226,Kamiiso,JP,2022-02-01 03:44:43,41.8167,140.65,28.78,74,75,9.22
227,Irbil,IQ,2022-02-01 03:44:43,36.1926,44.0106,44.42,76,0,11.5
228,Kavaratti,IN,2022-02-01 03:44:44,10.5669,72.642,80.62,70,6,6.89
229,Madimba,TZ,2022-02-01 03:44:44,-10.4,40.3333,74.52,100,20,11.5
230,Vila Velha,BR,2022-02-01 03:44:44,-20.3297,-40.2925,75.15,95,75,1.01
231,Kenai,US,2022-02-01 03:44:45,60.5544,-151.2583,9.03,88,0,6.91
232,Kaeo,NZ,2022-02-01 03:44:45,-35.1,173.7833,72.32,86,99,13.15
233,Adrar,MR,2022-02-01 03:44:45,20.5022,-10.0711,69.94,14,99,10.63
234,Tarquinia,IT,2022-02-01 03:44:46,42.2482,11.7553,45.63,84,3,16.87
235,Bengkulu,ID,2022-02-01 03:44:46,-3.8004,102.2655,84.22,67,81,7.2
236,Spas-Demensk,RU,2022-02-01 03:44:46,54.4122,34.0226,22.42,97,98,5.06
237,Barrow,US,2022-02-01 03:44:47,71.2906,-156.7887,-14.78,84,100,3.44
238,Port Hardy,CA,2022-02-01 03:44:47,50.6996,-127.4199,39.76,93,75,5.75
239,Teguldet,RU,2022-02-01 03:44:47,57.3064,88.1667,11.93,94,100,4.45
240,Cabo San Lucas,MX,2022-02-01 03:44:48,22.8909,-109.9124,69.51,59,0,7.47
241,Russell,US,2022-02-01 03:44:48,32.3502,-85.1999,46.0,81,0,0.0
242,Honiara,SB,2022-02-01 03:44:48,-9.4333,159.95,84.06,79,78,4.68
243,Semirom,IR,2022-02-01 03:44:49,31.4167,51.5667,29.62,98,100,4.12
244,Kavieng,PG,2022-02-01 03:44:49,-2.5744,150.7967,79.5,86,98,13.73
245,Mantua,IT,2022-02-01 03:44:49,45.1667,10.7833,49.24,70,53,8.99
246,Grand Gaube,MU,2022-02-01 03:44:50,-20.0064,57.6608,81.37,71,99,10.0
247,Smolenka,RU,2022-02-01 03:44:50,52.1352,113.4974,-12.93,77,48,0.0
248,Gornoye Loo,RU,2022-02-01 03:44:50,43.7129,39.6049,37.18,83,94,4.85
249,Port Hedland,AU,2022-02-01 03:44:50,-20.3167,118.5667,93.25,62,98,14.97
250,Riberalta,BO,2022-02-01 03:44:51,-10.9833,-66.1,72.93,92,100,2.42
251,Bonney Lake,US,2022-02-01 03:44:51,47.1771,-122.1865,41.04,86,100,1.99
252,Duekoue,CI,2022-02-01 03:44:51,6.7472,-7.3496,62.96,31,64,0.34
253,Sioux Lookout,CA,2022-02-01 03:44:52,50.1001,-91.917,24.87,86,100,12.66
254,Sabang,ID,2022-02-01 03:44:52,5.8933,95.3214,82.15,73,96,13.09
255,Komsomolskiy,UZ,2022-02-01 03:44:52,40.4272,71.7189,27.32,80,42,4.61
256,Cestas,FR,2022-02-01 03:44:53,44.7435,-0.6791,37.65,98,0,3.44
257,Waipawa,NZ,2022-02-01 03:44:53,-41.4122,175.5153,74.03,56,81,8.79
258,Am Timan,TD,2022-02-01 03:44:53,11.0297,20.2827,63.21,21,3,6.58
259,Charyshskoye,RU,2022-02-01 03:44:54,51.3978,83.5598,16.12,92,83,2.24
260,Qaqortoq,GL,2022-02-01 03:44:54,60.7167,-46.0333,25.3,83,100,10.76
261,Novo Aripuana,BR,2022-02-01 03:44:54,-5.1206,-60.3797,72.48,99,100,1.92
262,Hambantota,LK,2022-02-01 03:44:54,6.1241,81.1185,82.74,74,20,10.36
263,Mandalgovi,MN,2022-02-01 03:44:55,45.7625,106.2708,8.94,36,4,7.61
